id,tcga_code
ACH-000045,LAML
ACH-001239,SKCM
ACH-000684,KIRC
ACH-000969,COAD/READ
ACH-001045,SKCM
ACH-000381,COAD/READ
ACH-000511,LUSC
ACH-000750,SKCM
ACH-000481,LUSC
ACH-000553,LUSC
ACH-000940,UCEC
ACH-000186,UNABLE TO CLASSIFY
ACH-000579,SKCM
ACH-000824,ESCA
ACH-000362,LAML
ACH-000213,PAAD
ACH-001125,LGG
ACH-000777,ESCA
ACH-000855,ESCA
ACH-000320,PAAD
ACH-000510,
ACH-000023,PAAD
ACH-000650,SKCM
ACH-000673,
ACH-000246,KIRC
ACH-000642,BRCA
ACH-000494,OV
ACH-000591,
ACH-001018,
ACH-000455,
ACH-000272,KIRC
ACH-000279,
ACH-000064,
ACH-000690,
ACH-001194,KIRC
ACH-001207,
ACH-001205,
ACH-000887,
ACH-000170,PRAD
ACH-000036,
ACH-001175,KIRC
ACH-000328,
ACH-000676,
ACH-000300,KIRC
ACH-000208,
ACH-001067,
ACH-000049,KIRC
ACH-000600,KIRC
ACH-000385,KIRC
ACH-000490,CESC
ACH-000283,
ACH-000128,
ACH-000575,
ACH-001225,KIRC
ACH-000215,
ACH-000629,
ACH-001224,KIRC
ACH-001058,
ACH-001079,
ACH-000016,KIRC
ACH-000760,LGG
ACH-000634,
ACH-000029,
ACH-000127,KIRC
ACH-001087,KIRC
ACH-000499,
ACH-000262,KIRC
ACH-000216,ESCA
ACH-000025,
ACH-000453,MM
ACH-000188,HNSC
ACH-001230,LAML
ACH-000078,NB
ACH-000624,BRCA
ACH-000073,DLBC
ACH-000006,LAML
ACH-000678,STAD
ACH-000566,BLCA
ACH-000795,ALL
ACH-000338,
ACH-000254,HNSC
ACH-000531,
ACH-000785,LUAD
ACH-001138,SCLC
ACH-000737,LUSC
ACH-000012,LUAD
ACH-000169,SARC
ACH-001321,THCA
ACH-000387,LAML
ACH-000088,
ACH-000275,
ACH-000079,SARC
ACH-001306,THCA
ACH-000568,BRCA
ACH-000105,ALL
ACH-000728,ALL
ACH-000981,ALL
ACH-000439,LAML
ACH-000742,
ACH-000357,DLBC
ACH-000653,MM
ACH-000388,DLBC
ACH-000342,COAD/READ
ACH-000604,LCML
ACH-000645,MESO
ACH-000902,BRCA
ACH-000130,ALL
ACH-000942,ALL
ACH-000122,
ACH-000798,COAD/READ
ACH-000044,BRCA
ACH-000349,BRCA
ACH-000196,BRCA
ACH-001203,
ACH-001130,ALL
ACH-000336,LAML
ACH-000271,DLBC
ACH-000365,DLBC
ACH-000100,SARC
ACH-000124,DLBC
ACH-000321,LCML
ACH-000363,MM
ACH-000166,LAML
ACH-000850,COAD/READ
ACH-000554,BRCA
ACH-000220,DLBC
ACH-000136,NB
ACH-000717,ESCA
ACH-000350,COAD/READ
ACH-000301,LCML
ACH-000920,LCML
ACH-000038,CLL
ACH-000457,KIRC
ACH-000432,LCML
ACH-000056,DLBC
ACH-000198,LAML
ACH-000938,ALL
ACH-000545,BLCA
ACH-000204,MM
ACH-000787,LUAD
ACH-001129,LAML
ACH-000218,LAML
ACH-000937,ALL
ACH-000462,LCML
ACH-000113,LAML
ACH-000032,ALL
ACH-000326,LCML
ACH-000065,LAML
ACH-000101,ALL
ACH-000241,LCML
ACH-000398,DLBC
ACH-000315,DLBC
ACH-000806,
ACH-000516,SARC
ACH-000643,BRCA
ACH-000156,ALL
ACH-000492,ALL
ACH-000013,OV
ACH-000267,
ACH-000142,BLCA
ACH-001106,ALL
ACH-000659,SCLC
ACH-000392,LUAD
ACH-000852,LUAD
ACH-000886,LUAD
ACH-000894,LUSC
ACH-000274,SKCM
ACH-000277,BRCA
ACH-000818,BRCA
ACH-000083,
ACH-000194,SKCM
ACH-000066,LUAD
ACH-000352,BRCA
ACH-000074,LCML
ACH-000790,SCLC
ACH-000772,SARC
ACH-000804,NB
ACH-000134,
ACH-000140,DLBC
ACH-000828,BRCA
ACH-000119,SARC
ACH-000292,SCLC
ACH-000526,
ACH-000414,LUAD
ACH-000121,LUAD
ACH-000233,
ACH-000603,UNABLE TO CLASSIFY
ACH-000202,COAD/READ
ACH-000636,ALL
ACH-000664,
ACH-000372,ALL
ACH-000802,BLCA
ACH-000792,KIRC
ACH-000391,SARC
ACH-000346,CLL
ACH-000168,LAML
ACH-000775,
ACH-000184,
ACH-000150,
ACH-000154,
ACH-000356,STAD
ACH-001307,THCA
ACH-000486,BLCA
ACH-000983,LCML
ACH-000210,SARC
ACH-000037,SARC
ACH-000295,LCML
ACH-000024,MM
ACH-000174,THCA
ACH-000627,
ACH-000995,ALL
ACH-000070,ALL
ACH-000020,ALL
ACH-000602,LAML
ACH-000754,
ACH-000918,ALL
ACH-000294,LAML
ACH-000596,
ACH-000948,STAD
ACH-000191,THCA
ACH-000106,CLL
ACH-000856,BRCA
ACH-000183,MM
ACH-000815,
ACH-000099,NB
ACH-000287,DLBC
ACH-000593,BLCA
ACH-000611,DLBC
ACH-000193,MM
ACH-000068,DLBC
ACH-000751,LAML
ACH-000405,CLL
ACH-000112,LAML
ACH-000660,DLBC
ACH-000456,THCA
ACH-000973,BLCA
ACH-000249,COAD/READ
ACH-000716,THCA
